id,brand,gym_name,street_address,postal_code,city,region,country,homepage,instagram,latitude,longitude,bouldering,lead,top_rope,moonboard,kilterboard,spraywall,continent,grading_type,last_verified,status,status_date,successor_id
it-rocktime-pistoia,Rock Time Center,Rock Time Center,Via Galileo Galilei 45,51100,Pistoia,Tuscany,Italy,https://rocktimecenter.it,@rocktimecenterpistoia,43.8741306,10.8143259,true,true,true,true,,,Europe,,2026-06-14,,,
it-rockmaster-arco,Rock Master,Rock Master Climbing Stadium,Via dei Legionari Cecoslovacchi 26,38062,Arco,Trentino-Alto Adige,Italy,https://rockmaster.com,@rockmasterfestival,,,true,true,true,,,,Europe,,2026-06-14,,,
it-bigup-cuneo,BigUp Climbing,BigUp Climbing,Via Ercole Negri di Sanfront 4,12100,Cuneo,Piedmont,Italy,https://www.bigupclimbing.com,@bigup_climbing,44.4255459,7.5409702,true,false,false,,true,,Europe,,2026-06-14,,,
it-blockland-laquila,BlockLand,BlockLand Climbing Center,Via Enrico Berlinguer,67100,L'Aquila,Abruzzo,Italy,https://www.blockland.it,@blocklandclimbingcenter,42.3537305,13.3419413,true,false,false,,,,Europe,,2026-06-14,,,
it-palaroccia-quarto,Palaroccia Napoli,Palaroccia Napoli,Via Viticella 173,80010,Quarto,Campania,Italy,https://www.freeclimbingnapoli.it,@palaroccia,40.8712984,14.1331436,true,true,true,,,,Europe,,2026-06-14,,,
it-rockarena-merano,Rockarena,Centro d'arrampicata Rockarena,Via delle Palade 74,39012,Merano,Trentino-Alto Adige,Italy,https://www.rockarena.it,,46.6609543,11.1568060,true,true,true,,,,Europe,,2026-06-14,,,
it-vertical-siracusa,Vertical Climbing Center,Vertical Climbing Center,Via Padova 22,96100,Siracusa,Sicily,Italy,https://www.verticalclimbingcenter.it,@vertical_climbing_center,37.0767097,15.2906306,true,true,true,true,,,Europe,,2026-06-14,,,
it-bouldereco-agrate,Boulder & Co.,Boulder & Co. Climbing Gym,Via Archimede 27,20864,Agrate Brianza,Lombardy,Italy,https://www.bouldereco.com,@bouldereco,45.5670772,9.3375841,true,false,false,,,,Europe,,2026-06-14,,,
it-bigwalls-brugherio,Big Walls,Big Walls,Viale Lombardia 51/53,20861,Brugherio,Lombardy,Italy,https://www.bigwalls.it,@bigwalls_climbing,45.5449603,9.2912656,true,true,true,,,,Europe,,2026-06-14,,,
it-stoneage-uboldo,Stone Age Climbing Park,Stone Age Climbing Park,Via Enrico Fermi 130,21040,Uboldo,Lombardy,Italy,,@stoneage_climb,45.6147287,8.9904081,true,true,true,,,,Europe,,2026-06-14,,,
it-vertikale-bressanone,Vertikale,Vertikale,Piazza Priel 9,39042,Bressanone,Trentino-Alto Adige,Italy,,@vertikalebrixen,46.7203221,11.6568287,true,true,true,,,,Europe,,2026-06-14,,,
it-betahouse-sesto,Beta House,Beta House,Via Giulio Pastore 34,50019,Sesto Fiorentino,Tuscany,Italy,https://www.betahouseclimbing.it,@betahouseclimbing,43.8318473,11.1801949,true,true,true,,,,Europe,,2026-06-14,,,
it-area51-scandicci,Area51,Area51 Climbing Center,Via di Casellina 73/E,50018,Scandicci,Tuscany,Italy,https://www.area51climbingcenter.com,@area51_firenze,43.7572427,11.1667790,true,false,false,,,,Europe,,2026-06-14,,,
it-thefarm-capannori,The Farm,The Farm Boulder Gym,Via di San Pieretto 32,55060,Capannori,Tuscany,Italy,,@the_farm_lucca,43.8082350,10.5035166,true,false,false,,,,Europe,,2026-06-14,,,
it-bluerock-pompei,BlueRock,BlueRock Climbing Gym,Via Fondo della Rocca 21,80045,Pompei,Campania,Italy,,,40.7365874,14.5140706,true,,,,,,Europe,,,,,
it-crape-barcellona,Crape,Crape Climbing Gym,Via Giuseppe Garibaldi 827,98051,Barcellona Pozzo di Gotto,Sicily,Italy,,@crape.climbers,38.1661694,15.2512165,true,false,false,,,,Europe,,2026-06-14,,,
it-cortina360-cortina,Cortina360,Cortina360,Località Sopiazes 9,32043,Cortina d'Ampezzo,Veneto,Italy,https://cortina360.it,@cortina360,46.5436444,12.1299664,true,true,true,,,,Europe,,2026-06-14,,,
it-blocktorock-colle,Block To Rock,Block To Rock,Località Belvedere ingresso 2,53034,Colle di Val d'Elsa,Tuscany,Italy,https://www.blocktorock.it,,,,true,true,true,,,,Europe,,2026-06-14,,,
it-newrock-sanzeno,New Rock,New Rock Climbing,Via Armando Diaz 4,25010,San Zeno Naviglio,Lombardy,Italy,https://newrockbrescia.it,,45.5037052,10.2218353,true,true,true,,,,Europe,,2026-06-14,,,
it-stonetemple-alberi,Stone Temple,Stone Temple,Via Giulio e Giacinto Sicuri 17/A,43124,Alberi,Emilia-Romagna,Italy,,,44.7641525,10.3268538,true,,,,,,Europe,,,,,
it-junglerock-borgopiave,Jungle Rock,Jungle Rock,Via Mario Siciliano 64,04100,Borgo Piave,Lazio,Italy,,,41.4864855,12.8508376,true,,,,,,Europe,,,,,
it-infinityboulder-mattarello,Infinity Boulder,Infinity Boulder,Località le Basse 25,38123,Mattarello,Trentino-Alto Adige,Italy,https://infinityboulder.it,@infinityboulder,45.9984762,11.1248740,true,false,false,,,,Europe,,2026-06-14,,,
it-campfour-pietramurata,Campfour Boulder,Campfour Boulder,Viale Daino 74,38074,Pietramurata,Trentino-Alto Adige,Italy,https://campfourboulder.it,@campfour_boulder,46.0281150,10.9460306,true,false,false,,,,Europe,,2026-06-14,,,
it-invertclimb-zonaind,InVertClimb,InVertClimb,Via Enrico Fermi 30,73011,Zona Industriale,Lombardy,Italy,,,40.0700680,18.0501074,true,,,,,,Europe,,,,,
it-crazycenter-vallina,Crazy Center,Crazy Center Firenze Sud,Via di Compiobbi 2D,50012,Vallina,Tuscany,Italy,https://www.crazycenter.it,@crazycenterfirenzesud,43.7815515,11.3628012,true,false,false,,,,Europe,,2026-06-14,,,
it-gam-taglio,GAM,GAM - Modern Mountaineering Group,Via Taglio Sinistro 65/i,30175,Taglio Sx,Veneto,Italy,,,45.4771144,12.1191996,true,,,,,,Europe,,,,,
